seqid,uniprot
SeqId_12445_50,Q96NW4
SeqId_12449_16,O43447
SeqId_12450_42,Q15126
SeqId_12451_62,O14867
SeqId_12452_32,Q86Y97
SeqId_12453_161,Q9UBU9
SeqId_12454_105,Q9BV86
SeqId_12455_48,Q9NPC7
SeqId_12456_5,Q16875
SeqId_12457_10,Q9BV57
SeqId_12458_79,Q99653
SeqId_12459_13,Q9HB21
SeqId_12460_18,O14818
SeqId_12461_8,Q9NXA8
SeqId_12462_20,Q53H47
SeqId_12463_7,Q9P2N7
SeqId_12466_7,P09651
SeqId_12469_19,Q15691
SeqId_12471_47,O95793
SeqId_12473_48,Q9NXV2
SeqId_12475_48,Q9NZA1
SeqId_12476_50,Q9NQ88
SeqId_12477_42,Q15631
SeqId_12478_15,P62888
SeqId_12479_50,P31321
SeqId_12480_9,Q96G74
SeqId_12482_5,Q12830
SeqId_12483_62,Q92753
SeqId_12484_67,P48739
SeqId_12486_8,Q9NS18
SeqId_12488_9,Q9ULC4
SeqId_12490_92,Q9UHA4
SeqId_12493_42,Q96DC9
SeqId_12494_99,P60520
SeqId_12497_29,Q9BRJ7
SeqId_12498_12,O14907
SeqId_12499_108,Q99962
SeqId_12500_88,Q9UBT2
SeqId_12501_10,O75347
SeqId_12503_5,Q15743
SeqId_12504_26,P29536
SeqId_12507_16,Q96DU7
SeqId_12508_9,Q9Y3E7
SeqId_12509_115,Q8N668
SeqId_12510_3,Q9ULZ2
SeqId_12511_83,Q96JW4
SeqId_12513_8,Q9NZD2
SeqId_12514_16,Q9UBP6
SeqId_12515_45,Q9BZX2
SeqId_12516_13,Q15561
SeqId_12517_52,O14737
SeqId_12518_289,Q86U86
SeqId_12521_3,P42773
SeqId_12522_6,P54727
SeqId_12524_18,Q96F10
SeqId_12527_50,P10827
SeqId_12528_40,Q96S55
SeqId_12529_32,O75344
SeqId_12530_14,P61024
SeqId_12531_5,B6SEH8
SeqId_12532_28,P49427
SeqId_12533_135,Q99418
SeqId_12534_10,Q13137
SeqId_12535_2,P18887
SeqId_12536_46,Q9Y217
SeqId_12537_88,Q00577
SeqId_12538_19,P49802
SeqId_12540_25,P84095
SeqId_12543_76,Q96MR9
SeqId_12546_1,P53814
SeqId_12548_75,Q9HB90
SeqId_12549_33,O60760
SeqId_12551_3,Q96J02
SeqId_12553_5,Q99986
SeqId_12554_10,O75771
SeqId_12556_7,O00762
SeqId_12557_18,P51513
SeqId_12558_3,Q8TF42
SeqId_12560_9,Q8TCD5
SeqId_12562_1,Q16512
SeqId_12563_2,O95379
SeqId_12564_9,Q9Y221
SeqId_12568_14,Q14145
SeqId_12569_25,P48643
SeqId_12571_14,P36405
SeqId_12572_236,O43281
SeqId_12573_80,O75382
SeqId_12574_36,P20800
SeqId_12575_30,P11586
SeqId_12576_21,P43357
SeqId_12577_100,P39748
SeqId_12578_13,P61204
SeqId_12580_7,P28074
